38 Provinsi,
,Proporsi Individu Yang Menggunakan Internet Menurut Provinsi (Persen)
,2019
ACEH,35.6
SUMATERA UTARA,41.38
SUMATERA BARAT,41.15
RIAU,44.97
JAMBI,42.68
SUMATERA SELATAN,38.14
BENGKULU,40.72
LAMPUNG,40.17
KEP. BANGKA BELITUNG,45.85
KEP. RIAU,65.02
DKI JAKARTA,73.46
JAWA BARAT,53.94
JAWA TENGAH,47.74
DI YOGYAKARTA,61.73
JAWA TIMUR,47.1
BANTEN,56.25
BALI,54.08
NUSA TENGGARA BARAT,39.16
NUSA TENGGARA TIMUR,26.29
KALIMANTAN BARAT,38.38
KALIMANTAN TENGAH,46.73
KALIMANTAN SELATAN,50.37
KALIMANTAN TIMUR,59.12
KALIMANTAN UTARA,54.3
SULAWESI UTARA,46.73
SULAWESI TENGAH,35.52
SULAWESI SELATAN,43.91
SULAWESI TENGGARA,41.92
GORONTALO,41.78
SULAWESI BARAT,31.26
MALUKU,33.89
MALUKU UTARA,29.13
PAPUA BARAT,43.46
PAPUA BARAT DAYA,-
PAPUA,21.7
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,47.69
