38 Provinsi,
,Proporsi Individu Yang Menggunakan Internet Menurut Provinsi (Persen)
,2018
ACEH,30.69
SUMATERA UTARA,34.27
SUMATERA BARAT,36.49
RIAU,39.98
JAMBI,35.82
SUMATERA SELATAN,33.35
BENGKULU,32.66
LAMPUNG,32.41
KEP. BANGKA BELITUNG,37.33
KEP. RIAU,53.74
DKI JAKARTA,65.89
JAWA BARAT,45.33
JAWA TENGAH,38.51
DI YOGYAKARTA,55.45
JAWA TIMUR,38.75
BANTEN,47.9
BALI,46.42
NUSA TENGGARA BARAT,28.31
NUSA TENGGARA TIMUR,21.1
KALIMANTAN BARAT,30.99
KALIMANTAN TENGAH,36.17
KALIMANTAN SELATAN,40.89
KALIMANTAN TIMUR,50.25
KALIMANTAN UTARA,46.87
SULAWESI UTARA,40.59
SULAWESI TENGAH,28.94
SULAWESI SELATAN,37.09
SULAWESI TENGGARA,33.27
GORONTALO,34.62
SULAWESI BARAT,26.07
MALUKU,29.79
MALUKU UTARA,25.8
PAPUA BARAT,36.41
PAPUA BARAT DAYA,-
PAPUA,19.59
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,39.9
