id,kode_provinsi,nama_provinsi,pdrb_per_kapita,satuan,tahun
1,11,ACEH,26851.88,RIBU RUPIAH,2016
2,12,SUMATERA UTARA,44392.46,RIBU RUPIAH,2016
3,13,SUMATERA BARAT,37284.56,RIBU RUPIAH,2016
4,14,RIAU,104861.11,RIBU RUPIAH,2016
5,15,JAMBI,49494.98,RIBU RUPIAH,2016
6,16,SUMATERA SELATAN,43361.26,RIBU RUPIAH,2016
7,17,BENGKULU,29076.22,RIBU RUPIAH,2016
8,18,LAMPUNG,34053.97,RIBU RUPIAH,2016
9,19,KEPULAUAN BANGKA BELITUNG,46402.47,RIBU RUPIAH,2016
10,21,KEPULAUAN RIAU,106503.78,RIBU RUPIAH,2016
11,31,DKI JAKARTA,210075.09,RIBU RUPIAH,2016
12,32,JAWA BARAT,34893.62,RIBU RUPIAH,2016
13,33,JAWA TENGAH,31961.95,RIBU RUPIAH,2016
14,34,DI YOGYAKARTA,29552.53,RIBU RUPIAH,2016
15,35,JAWA TIMUR,47491.52,RIBU RUPIAH,2016
16,36,BANTEN,42439.73,RIBU RUPIAH,2016
17,51,BALI,46211.04,RIBU RUPIAH,2016
18,52,NUSA TENGGARA BARAT,23786.95,RIBU RUPIAH,2016
19,53,NUSA TENGGARA TIMUR,16093.51,RIBU RUPIAH,2016
20,61,KALIMANTAN BARAT,33190.65,RIBU RUPIAH,2016
21,62,KALIMANTAN TENGAH,43905.33,RIBU RUPIAH,2016
22,63,KALIMANTAN SELATAN,36022.98,RIBU RUPIAH,2016
23,64,KALIMANTAN TIMUR,145343.19,RIBU RUPIAH,2016
24,65,KALIMANTAN UTARA,99112.33,RIBU RUPIAH,2016
25,71,SULAWESI UTARA,41246.25,RIBU RUPIAH,2016
26,72,SULAWESI TENGAH,41082.04,RIBU RUPIAH,2016
27,73,SULAWESI SELATAN,43817.39,RIBU RUPIAH,2016
28,74,SULAWESI TENGGARA,38022.13,RIBU RUPIAH,2016
29,75,GORONTALO,27544.77,RIBU RUPIAH,2016
30,76,SULAWESI BARAT,27513.06,RIBU RUPIAH,2016
31,81,MALUKU,21599.17,RIBU RUPIAH,2016
32,82,MALUKU UTARA,24580.75,RIBU RUPIAH,2016
33,91,PAPUA BARAT,74584.63,RIBU RUPIAH,2016
34,94,PAPUA,54002.15,RIBU RUPIAH,2016
35,11,ACEH,28096.71,RIBU RUPIAH,2017
36,12,SUMATERA UTARA,48003.6,RIBU RUPIAH,2017
37,13,SUMATERA BARAT,40194.29,RIBU RUPIAH,2017
38,14,RIAU,105844.77,RIBU RUPIAH,2017
39,15,JAMBI,53993.4,RIBU RUPIAH,2017
40,16,SUMATERA SELATAN,46315.05,RIBU RUPIAH,2017
